,家狼辆幅,免积斥岿,免积滴荐
125,茄快,201507,108
126,茄快,201508,130
127,茄快,201509,114
128,茄快,201510,87
129,茄快,201511,129
130,茄快,201512,104
131,茄快,201501,3
132,茄快,201502,5
133,茄快,201503,11
134,茄快,201504,5
135,茄快,201505,10
136,茄快,201506,2
137,茄快,201507,4
138,茄快,201508,7
139,茄快,201509,2
140,茄快,201511,7
141,茄快,201512,2
142,茄快,201501,2
143,茄快,201502,3
144,茄快,201503,5
145,茄快,201504,5
146,茄快,201505,5
147,茄快,201506,9
148,茄快,201507,5
149,茄快,201508,2
150,茄快,201509,5
151,茄快,201510,3
152,茄快,201511,1
153,茄快,201512,6
154,茄快,201501,38
155,茄快,201502,53
156,茄快,201503,143
157,茄快,201504,185
158,茄快,201505,182
159,茄快,201506,100
160,茄快,201507,89
161,茄快,201508,79
162,茄快,201509,56
163,茄快,201510,61
164,茄快,201511,33
165,茄快,201512,48
166,茄快,201501,40
167,茄快,201502,66
168,茄快,201503,139
169,茄快,201504,166
170,茄快,201505,163
171,茄快,201506,88
172,茄快,201507,72
173,茄快,201508,76
174,茄快,201509,46
175,茄快,201510,65
176,茄快,201511,36
177,茄快,201512,28
178,茄快,201501,55
179,茄快,201502,50
180,茄快,201503,118
181,茄快,201504,114
182,茄快,201505,95
183,茄快,201506,115
184,茄快,201507,73
185,茄快,201508,81
186,茄快,201509,56
187,茄快,201510,56
188,茄快,201511,52
189,茄快,201512,60
190,茄快,201501,62
191,茄快,201502,68
192,茄快,201503,92
193,茄快,201504,110
194,茄快,201505,106
195,茄快,201506,110
196,茄快,201507,71
197,茄快,201508,74
198,茄快,201509,81
199,茄快,201510,58
200,茄快,201511,53
201,茄快,201512,38
202,茄快,201501,68
203,茄快,201502,137
204,茄快,201503,260
205,茄快,201504,271
206,茄快,201505,238
207,茄快,201506,193
208,茄快,201507,149
209,茄快,201508,157
210,茄快,201509,118
211,茄快,201510,105
212,茄快,201511,75
213,茄快,201512,73
214,茄快,201501,53
215,茄快,201502,143
216,茄快,201503,253
217,茄快,201504,257
218,茄快,201505,239
219,茄快,201506,178
220,茄快,201507,139
221,茄快,201508,128
222,茄快,201509,91
223,茄快,201510,89
224,茄快,201511,78
225,茄快,201512,63
261,茄快,201501,72
262,茄快,201502,82
263,茄快,201503,256
264,茄快,201504,321
265,茄快,201505,239
266,茄快,201506,169
267,茄快,201507,139
268,茄快,201508,139
269,茄快,201509,101
270,茄快,201510,98
271,茄快,201511,62
272,茄快,201512,52
273,茄快,201501,58
274,茄快,201502,79
275,茄快,201503,285
276,茄快,201504,311
277,茄快,201505,210
278,茄快,201506,145
279,茄快,201507,136
280,茄快,201508,113
281,茄快,201509,91
282,茄快,201510,79
283,茄快,201511,61
284,茄快,201512,46
285,茄快,201501,38
286,茄快,201502,50
287,茄快,201503,146
288,茄快,201504,145
289,茄快,201505,117
290,茄快,201506,105
291,茄快,201507,61
292,茄快,201508,76
293,茄快,201509,66
294,茄快,201510,66
295,茄快,201511,43
296,茄快,201512,26
297,茄快,201501,43
298,茄快,201502,24
299,茄快,201503,130
300,茄快,201504,140
301,茄快,201505,113
302,茄快,201506,92
303,茄快,201507,80
304,茄快,201508,62
305,茄快,201509,50
306,茄快,201510,53
307,茄快,201511,36
308,茄快,201512,33
309,茄快,201501,66
310,茄快,201502,90
311,茄快,201503,155
312,茄快,201504,209
313,茄快,201505,181
314,茄快,201506,125
315,茄快,201507,113
316,茄快,201508,85
317,茄快,201509,55
318,茄快,201510,75
319,茄快,201511,87
320,茄快,201512,59
321,茄快,201501,78
322,茄快,201502,97
323,茄快,201503,172
324,茄快,201504,208
325,茄快,201505,190
326,茄快,201506,129
327,茄快,201507,113
328,茄快,201508,110
329,茄快,201509,75
330,茄快,201510,73
331,茄快,201511,72
332,茄快,201512,51
369,茄快,201501,69
370,茄快,201502,90
371,茄快,201503,225
372,茄快,201504,291
373,茄快,201505,273
374,茄快,201506,203
375,茄快,201507,170
376,茄快,201508,150
377,茄快,201509,103
378,茄快,201510,138
379,茄快,201511,83
380,茄快,201512,83
381,茄快,201501,67
382,茄快,201502,90
383,茄快,201503,224
384,茄快,201504,320
385,茄快,201505,263
386,茄快,201506,194
387,茄快,201507,126
388,茄快,201508,144
389,茄快,201509,99
390,茄快,201510,112
391,茄快,201511,87
392,茄快,201512,96
426,茄快,201501,93
427,茄快,201502,177
428,茄快,201503,379
429,茄快,201504,471
430,茄快,201505,338
431,茄快,201506,260
432,茄快,201507,189
433,茄快,201508,172
434,茄快,201509,119
435,茄快,201510,121
436,茄快,201511,112
437,茄快,201512,103
438,茄快,201501,93
439,茄快,201502,148
440,茄快,201503,384
441,茄快,201504,382
442,茄快,201505,316
443,茄快,201506,251
444,茄快,201507,163
445,茄快,201508,159
446,茄快,201509,125
447,茄快,201510,108
448,茄快,201511,121
449,茄快,201512,90
450,茄快,201501,14
451,茄快,201502,13
452,茄快,201503,11
453,茄快,201504,31
454,茄快,201505,28
455,茄快,201506,22
456,茄快,201507,15
457,茄快,201508,15
458,茄快,201509,6
459,茄快,201510,10
460,茄快,201511,5
461,茄快,201512,9
462,茄快,201501,10
463,茄快,201502,8
464,茄快,201503,12
465,茄快,201504,31
466,茄快,201505,27
467,茄快,201506,10
468,茄快,201507,8
469,茄快,201508,9
470,茄快,201509,7
471,茄快,201510,6
472,茄快,201511,9
473,茄快,201512,9
509,茄快,201501,61
510,茄快,201502,90
511,茄快,201503,195
512,茄快,201504,294
513,茄快,201505,248
514,茄快,201506,159
515,茄快,201507,153
516,茄快,201508,109
517,茄快,201509,166
518,茄快,201510,117
519,茄快,201511,96
520,茄快,201512,64
521,茄快,201501,83
522,茄快,201502,95
523,茄快,201503,180
524,茄快,201504,262
525,茄快,201505,226
526,茄快,201506,136
527,茄快,201507,138
528,茄快,201508,119
529,茄快,201509,143
530,茄快,201510,109
531,茄快,201511,78
532,茄快,201512,60
569,茄快,201501,216
570,茄快,201502,216
571,茄快,201503,524
572,茄快,201504,618
573,茄快,201505,486
574,茄快,201506,384
575,茄快,201507,273
576,茄快,201508,226
577,茄快,201509,204
578,茄快,201510,189
579,茄快,201511,170
580,茄快,201512,154
581,茄快,201501,169
582,茄快,201502,206
583,茄快,201503,517
584,茄快,201504,578
585,茄快,201505,445
586,茄快,201506,334
587,茄快,201507,251
588,茄快,201508,211
589,茄快,201509,168
590,茄快,201510,139
591,茄快,201511,135
592,茄快,201512,159
618,茄快,201501,49
619,茄快,201502,63
620,茄快,201503,123
621,茄快,201504,137
622,茄快,201505,145
623,茄快,201506,108
624,茄快,201507,105
625,茄快,201508,78
626,茄快,201509,57
627,茄快,201510,49
628,茄快,201511,45
629,茄快,201512,25
630,茄快,201501,54
631,茄快,201502,67
632,茄快,201503,115
633,茄快,201504,137
634,茄快,201505,140
635,茄快,201506,106
636,茄快,201507,88
637,茄快,201508,55
638,茄快,201509,53
639,茄快,201510,51
640,茄快,201511,40
641,茄快,201512,39
678,茄快,201501,295
679,茄快,201502,383
680,茄快,201503,1147
681,茄快,201504,1158
682,茄快,201505,960
683,茄快,201506,738
684,茄快,201507,513
685,茄快,201508,445
686,茄快,201509,385
687,茄快,201510,345
688,茄快,201511,344
689,茄快,201512,336
690,茄快,201501,274
691,茄快,201502,408
692,茄快,201503,1082
693,茄快,201504,1137
694,茄快,201505,892
695,茄快,201506,734
696,茄快,201507,511
697,茄快,201508,425
698,茄快,201509,339
699,茄快,201510,332
700,茄快,201511,295
701,茄快,201512,322
738,茄快,201501,35
739,茄快,201502,69
740,茄快,201503,263
741,茄快,201504,261
742,茄快,201505,210
743,茄快,201506,108
744,茄快,201507,102
745,茄快,201508,103
746,茄快,201509,70
747,茄快,201510,67
748,茄快,201511,38
749,茄快,201512,27
750,茄快,201501,33
751,茄快,201502,77
752,茄快,201503,317
753,茄快,201504,266
754,茄快,201505,201
755,茄快,201506,116
756,茄快,201507,95
757,茄快,201508,90
758,茄快,201509,63
759,茄快,201510,73
760,茄快,201511,43
761,茄快,201512,26
798,茄快,201501,2
799,茄快,201502,7
800,茄快,201503,19
801,茄快,201504,18
802,茄快,201505,9
803,茄快,201506,12
804,茄快,201507,6
805,茄快,201508,1
806,茄快,201509,2
807,茄快,201510,5
808,茄快,201511,3
809,茄快,201512,7
810,茄快,201501,6
811,茄快,201502,8
812,茄快,201503,16
813,茄快,201504,22
814,茄快,201505,13
815,茄快,201506,8
816,茄快,201507,8
817,茄快,201508,6
818,茄快,201509,4
819,茄快,201510,2
820,茄快,201511,7
821,茄快,201512,8
857,茄快,201501,10
858,茄快,201502,17
859,茄快,201503,35
860,茄快,201504,65
861,茄快,201505,73
862,茄快,201506,24
863,茄快,201507,34
864,茄快,201508,22
865,茄快,201509,10
866,茄快,201510,17
867,茄快,201511,9
868,茄快,201512,8
869,茄快,201501,14
870,茄快,201502,12
871,茄快,201503,50
872,茄快,201504,60
873,茄快,201505,55
874,茄快,201506,29
875,茄快,201507,31
876,茄快,201508,16
877,茄快,201509,14
878,茄快,201510,18
879,茄快,201511,8
880,茄快,201512,8
908,茄快,201501,4
909,茄快,201502,4
910,茄快,201503,11
911,茄快,201504,12
912,茄快,201505,6
913,茄快,201506,10
914,茄快,201507,1
915,茄快,201508,12
916,茄快,201509,17
917,茄快,201510,2
918,茄快,201511,2
919,茄快,201512,5
920,茄快,201501,5
921,茄快,201502,1
922,茄快,201503,7
923,茄快,201504,3
924,茄快,201505,6
925,茄快,201506,14
926,茄快,201507,1
927,茄快,201508,3
928,茄快,201509,8
929,茄快,201511,4
930,茄快,201512,7
931,茄快,201501,1
932,茄快,201502,2
933,茄快,201503,1
934,茄快,201504,1
935,茄快,201505,2
936,茄快,201506,1
937,茄快,201508,1
938,茄快,201510,2
939,茄快,201502,7
940,茄快,201503,2
941,茄快,201504,3
942,茄快,201506,3
943,茄快,201507,1
944,茄快,201510,2
952,茄快,201501,7
953,茄快,201502,10
954,茄快,201503,17
955,茄快,201504,22
956,茄快,201505,15
957,茄快,201506,14
958,茄快,201507,9
959,茄快,201508,11
960,茄快,201509,12
961,茄快,201510,4
962,茄快,201511,3
963,茄快,201512,14
964,茄快,201501,8
965,茄快,201502,6
966,茄快,201503,15
967,茄快,201504,15
968,茄快,201505,22
969,茄快,201506,15
970,茄快,201507,12
971,茄快,201508,10
972,茄快,201509,11
973,茄快,201510,6
974,茄快,201511,3
975,茄快,201512,4
1012,茄快,201501,26
1013,茄快,201502,29
1014,茄快,201503,120
1015,茄快,201504,113
1016,茄快,201505,89
1017,茄快,201506,78
1018,茄快,201507,57
1019,茄快,201508,43
1020,茄快,201509,35
1021,茄快,201510,21
1022,茄快,201511,15
1023,茄快,201512,27
1024,茄快,201501,22
1025,茄快,201502,33
1026,茄快,201503,97
1027,茄快,201504,129
1028,茄快,201505,81
1029,茄快,201506,68
1030,茄快,201507,53
1031,茄快,201508,44
1032,茄快,201509,32
1033,茄快,201510,18
1034,茄快,201511,16
1035,茄快,201512,24
1057,茄快,201501,1
1058,茄快,201502,2
1059,茄快,201503,5
1060,茄快,201505,2
1061,茄快,201507,3
1062,茄快,201508,3
1063,茄快,201510,1
1064,茄快,201511,2
1065,茄快,201512,1
1066,茄快,201501,1
1067,茄快,201502,1
1068,茄快,201503,3
1069,茄快,201504,4
1070,茄快,201507,2
1071,茄快,201508,2
1072,茄快,201509,1
1073,茄快,201511,1
1074,茄快,201512,1
1075,茄快,201502,2
1076,茄快,201503,6
1077,茄快,201504,1
1078,茄快,201506,1
1079,茄快,201507,2
1080,茄快,201508,2
1081,茄快,201512,1
1082,茄快,201502,3
1083,茄快,201503,1
1084,茄快,201504,4
1085,茄快,201506,1
1086,茄快,201510,1
1087,茄快,201511,1
1124,茄快,201501,46
1125,茄快,201502,44
1126,茄快,201503,87
1127,茄快,201504,139
1128,茄快,201505,142
1129,茄快,201506,106
1130,茄快,201507,87
1131,茄快,201508,62
1132,茄快,201509,32
1133,茄快,201510,43
1134,茄快,201511,35
1135,茄快,201512,39
1136,茄快,201501,36
1137,茄快,201502,47
1138,茄快,201503,97
1139,茄快,201504,124
1140,茄快,201505,148
1141,茄快,201506,102
1142,茄快,201507,74
1143,茄快,201508,84
1144,茄快,201509,39
1145,茄快,201510,50
1146,茄快,201511,43
1147,茄快,201512,33
1184,茄快,201501,46
1185,茄快,201502,52
1186,茄快,201503,123
1187,茄快,201504,206
1188,茄快,201505,152
1189,茄快,201506,121
1190,茄快,201507,56
1191,茄快,201508,62
1192,茄快,201509,72
1193,茄快,201510,35
1194,茄快,201511,42
1195,茄快,201512,32
1196,茄快,201501,32
1197,茄快,201502,45
1198,茄快,201503,109
1199,茄快,201504,199
1200,茄快,201505,140
1201,茄快,201506,107
1202,茄快,201507,62
1203,茄快,201508,50
1204,茄快,201509,48
1205,茄快,201510,50
1206,茄快,201511,37
1207,茄快,201512,28
1240,茄快,201501,2
1241,茄快,201502,1
1242,茄快,201503,5
1243,茄快,201504,5
1244,茄快,201505,5
1245,茄快,201506,7
1246,茄快,201507,9
1247,茄快,201508,4
1248,茄快,201509,3
1249,茄快,201510,4
1250,茄快,201511,2
1251,茄快,201512,5
1252,茄快,201501,4
1253,茄快,201502,1
1254,茄快,201503,3
1255,茄快,201504,15
1256,茄快,201505,9
1257,茄快,201506,7
1258,茄快,201507,7
1259,茄快,201508,2
1260,茄快,201509,4
1261,茄快,201510,3
1262,茄快,201511,2
1263,茄快,201512,5
1264,茄快,201503,1
1265,茄快,201504,1
1266,茄快,201501,2
1267,茄快,201501,1
1268,茄快,201502,1
1294,茄快,201502,3
1295,茄快,201503,3
1296,茄快,201504,3
1297,茄快,201506,2
1298,茄快,201507,2
1299,茄快,201508,1
1300,茄快,201509,1
1301,茄快,201512,3
1302,茄快,201502,1
1303,茄快,201503,3
1304,茄快,201504,2
1305,茄快,201505,5
1306,茄快,201506,1
1307,茄快,201508,1
1308,茄快,201509,1
1309,茄快,201510,1
1310,茄快,201511,1
1311,茄快,201512,2
1339,茄快,201501,2
1340,茄快,201502,3
1341,茄快,201503,2
1342,茄快,201504,1
1343,茄快,201505,1
1344,茄快,201506,2
1345,茄快,201507,3
1346,茄快,201511,3
1347,茄快,201512,1
1348,茄快,201501,4
1349,茄快,201502,4
1350,茄快,201503,5
1351,茄快,201504,1
1352,茄快,201505,2
1353,茄快,201506,6
1354,茄快,201507,2
1355,茄快,201508,2
1356,茄快,201509,1
1357,茄快,201510,1
1358,茄快,201511,2
1359,茄快,201512,3
1388,茄快,201501,6
1389,茄快,201502,18
1390,茄快,201503,68
1391,茄快,201504,56
1392,茄快,201505,60
1393,茄快,201506,40
1394,茄快,201507,37
1395,茄快,201508,27
1396,茄快,201509,28
1397,茄快,201510,17
1398,茄快,201511,15
1399,茄快,201512,10
1400,茄快,201501,20
1401,茄快,201502,8
1402,茄快,201503,62
1403,茄快,201504,57
1404,茄快,201505,56
1405,茄快,201506,45
1406,茄快,201507,46
1407,茄快,201508,20
1408,茄快,201509,28
1409,茄快,201510,20
1410,茄快,201511,20
1411,茄快,201512,13
1412,茄快,201501,4
1413,茄快,201502,2
1414,茄快,201503,2
1415,茄快,201504,5
1416,茄快,201505,2
1417,茄快,201506,1
1418,茄快,201509,2
1419,茄快,201510,2
1420,茄快,201511,1
1421,茄快,201512,1
1422,茄快,201501,3
1423,茄快,201502,3
1424,茄快,201503,3
1425,茄快,201504,2
1426,茄快,201505,3
1427,茄快,201509,3
1428,茄快,201510,1
1429,茄快,201511,2
1430,茄快,201512,1
1465,茄快,201501,12
1466,茄快,201502,16
1467,茄快,201503,28
1468,茄快,201504,31
1469,茄快,201505,35
1470,茄快,201506,25
1471,茄快,201507,20
1472,茄快,201508,11
1473,茄快,201509,19
1474,茄快,201510,5
1475,茄快,201511,6
1476,茄快,201512,6
1477,茄快,201501,12
1478,茄快,201502,15
1479,茄快,201503,20
1480,茄快,201504,26
1481,茄快,201505,43
1482,茄快,201506,20
1483,茄快,201507,25
1484,茄快,201508,6
1485,茄快,201509,18
1486,茄快,201510,4
1487,茄快,201511,2
1488,茄快,201512,9
1525,茄快,201501,246
1526,茄快,201502,327
1527,茄快,201503,707
1528,茄快,201504,1026
1529,茄快,201505,921
1530,茄快,201506,609
1531,茄快,201507,555
1532,茄快,201508,413
1533,茄快,201509,309
1534,茄快,201510,263
1535,茄快,201511,200
1536,茄快,201512,201
1537,茄快,201501,254
1538,茄快,201502,298
1539,茄快,201503,751
1540,茄快,201504,993
1541,茄快,201505,811
1542,茄快,201506,617
1543,茄快,201507,526
1544,茄快,201508,413
1545,茄快,201509,290
1546,茄快,201510,198
1547,茄快,201511,183
1548,茄快,201512,174
1549,茄快,201504,1
1550,茄快,201505,1
1551,茄快,201509,2
1552,茄快,201503,2
1553,茄快,201504,1
1554,茄快,201505,1
1555,茄快,201507,2
1592,茄快,201501,40
1593,茄快,201502,46
1594,茄快,201503,153
1595,茄快,201504,170
1596,茄快,201505,124
1597,茄快,201506,90
1598,茄快,201507,70
1599,茄快,201508,64
1600,茄快,201509,61
1601,茄快,201510,40
1602,茄快,201511,33
1603,茄快,201512,25
1604,茄快,201501,41
1605,茄快,201502,65
1606,茄快,201503,149
1607,茄快,201504,138
1608,茄快,201505,119
1609,茄快,201506,93
1610,茄快,201507,66
1611,茄快,201508,76
1612,茄快,201509,57
1613,茄快,201510,46
1614,茄快,201511,32
1615,茄快,201512,42
1652,茄快,201501,118
1653,茄快,201502,137
1654,茄快,201503,379
1655,茄快,201504,381
1656,茄快,201505,380
1657,茄快,201506,278
1658,茄快,201507,249
1659,茄快,201508,178
1660,茄快,201509,153
1661,茄快,201510,124
1662,茄快,201511,96
1663,茄快,201512,130
1664,茄快,201501,116
1665,茄快,201502,140
1666,茄快,201503,371
1667,茄快,201504,370
1668,茄快,201505,377
1669,茄快,201506,262
1670,茄快,201507,262
1671,茄快,201508,163
1672,茄快,201509,113
1673,茄快,201510,153
1674,茄快,201511,97
1675,茄快,201512,106
1712,茄快,201501,122
1713,茄快,201502,144
1714,茄快,201503,312
1715,茄快,201504,353
1716,茄快,201505,322
1717,茄快,201506,288
1718,茄快,201507,177
1719,茄快,201508,155
1720,茄快,201509,167
1721,茄快,201510,113
1722,茄快,201511,133
1723,茄快,201512,92
1724,茄快,201501,133
1725,茄快,201502,153
1726,茄快,201503,322
1727,茄快,201504,365
1728,茄快,201505,305
1729,茄快,201506,231
1730,茄快,201507,182
1731,茄快,201508,171
1732,茄快,201509,126
1733,茄快,201510,117
1734,茄快,201511,117
1735,茄快,201512,120
1772,茄快,201501,33
1773,茄快,201502,27
1774,茄快,201503,131
1775,茄快,201504,129
1776,茄快,201505,162
1777,茄快,201506,136
1778,茄快,201507,89
1779,茄快,201508,75
1780,茄快,201509,70
1781,茄快,201510,57
1782,茄快,201511,41
1783,茄快,201512,39
1784,茄快,201501,33
1785,茄快,201502,28
1786,茄快,201503,136
1787,茄快,201504,136
1788,茄快,201505,140
1789,茄快,201506,117
1790,茄快,201507,85
1791,茄快,201508,80
1792,茄快,201509,65
1793,茄快,201510,49
1794,茄快,201511,46
1795,茄快,201512,33
1818,茄快,201501,5
1819,茄快,201502,3
1820,茄快,201503,4
1821,茄快,201504,6
1822,茄快,201505,3
1823,茄快,201506,4
1824,茄快,201507,5
1825,茄快,201508,1
1826,茄快,201509,2
1827,茄快,201510,3
1828,茄快,201511,1
1829,茄快,201512,3
1830,茄快,201501,13
1831,茄快,201502,4
1832,茄快,201503,6
1833,茄快,201504,6
1834,茄快,201505,3
1835,茄快,201506,7
1836,茄快,201507,1
1837,茄快,201508,1
1838,茄快,201509,1
1839,茄快,201510,1
1840,茄快,201511,1
1841,茄快,201512,2
1858,茄快,201502,1
1859,茄快,201503,2
1860,茄快,201501,1
1861,茄快,201502,3
1862,茄快,201503,2
1863,茄快,201504,1
1864,茄快,201505,2
1865,茄快,201509,1
1866,茄快,201502,2
1867,茄快,201503,4
1868,茄快,201504,1
1869,茄快,201505,1
1870,茄快,201507,1
1871,茄快,201509,1
1907,茄快,201501,41
1908,茄快,201502,67
1909,茄快,201503,199
1910,茄快,201504,202
1911,茄快,201505,204
1912,茄快,201506,138
1913,茄快,201507,108
1914,茄快,201508,95
1915,茄快,201509,62
1916,茄快,201510,60
1917,茄快,201511,67
1918,茄快,201512,50
1919,茄快,201501,59
1920,茄快,201502,62
1921,茄快,201503,183
1922,茄快,201504,168
1923,茄快,201505,175
1924,茄快,201506,127
1925,茄快,201507,110
1926,茄快,201508,99
1927,茄快,201509,62
1928,茄快,201510,47
1929,茄快,201511,52
1930,茄快,201512,42
1931,茄快,201502,1
1932,茄快,201505,1
1933,茄快,201506,2
1934,茄快,201507,2
1935,茄快,201512,1
1936,茄快,201503,1
1937,茄快,201505,1
1938,茄快,201506,1
1939,茄快,201507,2
1940,茄快,201509,2
1946,茄快,201503,3
1947,茄快,201504,9
1948,茄快,201505,5
1949,茄快,201506,7
1950,茄快,201507,4
1951,茄快,201508,1
1952,茄快,201509,1
1953,茄快,201511,1
1954,茄快,201503,3
1955,茄快,201504,2
1956,茄快,201505,7
1957,茄快,201506,3
1958,茄快,201507,1
1959,茄快,201508,3
1960,茄快,201509,2
1961,茄快,201510,1
1962,茄快,201511,2
1999,茄快,201501,108
2000,茄快,201502,149
2001,茄快,201503,288
2002,茄快,201504,362
2003,茄快,201505,327
2004,茄快,201506,207
2005,茄快,201507,173
2006,茄快,201508,137
2007,茄快,201509,121
2008,茄快,201510,109
2009,茄快,201511,103
2010,茄快,201512,97
2011,茄快,201501,123
2012,茄快,201502,156
2013,茄快,201503,289
2014,茄快,201504,336
2015,茄快,201505,271
2016,茄快,201506,192
2017,茄快,201507,172
2018,茄快,201508,150
2019,茄快,201509,119
2020,茄快,201510,105
2021,茄快,201511,105
2022,茄快,201512,99
2059,茄快,201501,35
2060,茄快,201502,46
2061,茄快,201503,164
2062,茄快,201504,235
2063,茄快,201505,174
2064,茄快,201506,113
2065,茄快,201507,86
2066,茄快,201508,68
2067,茄快,201509,50
2068,茄快,201510,60
2069,茄快,201511,41
2070,茄快,201512,27
2071,茄快,201501,36
2072,茄快,201502,58
2073,茄快,201503,148
2074,茄快,201504,231
2075,茄快,201505,190
2076,茄快,201506,112
2077,茄快,201507,88
2078,茄快,201508,71
2079,茄快,201509,75
2080,茄快,201510,51
2081,茄快,201511,34
2082,茄快,201512,42
2119,茄快,201501,48
2120,茄快,201502,50
2121,茄快,201503,164
2122,茄快,201504,374
2123,茄快,201505,214
2124,茄快,201506,259
2125,茄快,201507,144
2126,茄快,201508,139
2127,茄快,201509,61
2128,茄快,201510,95
2129,茄快,201511,70
2130,茄快,201512,70
2131,茄快,201501,56
2132,茄快,201502,71
2133,茄快,201503,198
2134,茄快,201504,349
2135,茄快,201505,274
2136,茄快,201506,238
2137,茄快,201507,127
2138,茄快,201508,109
2139,茄快,201509,62
2140,茄快,201510,78
2141,茄快,201511,59
2142,茄快,201512,74
2179,茄快,201501,67
2180,茄快,201502,86
2181,茄快,201503,293
2182,茄快,201504,363
2183,茄快,201505,299
2184,茄快,201506,196
2185,茄快,201507,164
2186,茄快,201508,126
2187,茄快,201509,104
2188,茄快,201510,97
2189,茄快,201511,65
2190,茄快,201512,58
2191,茄快,201501,73
2192,茄快,201502,90
2193,茄快,201503,289
2194,茄快,201504,330
2195,茄快,201505,261
2196,茄快,201506,208
2197,茄快,201507,137
2198,茄快,201508,115
2199,茄快,201509,105
2200,茄快,201510,94
2201,茄快,201511,67
2202,茄快,201512,62
2226,茄快,201501,1
2227,茄快,201502,1
2228,茄快,201503,5
2229,茄快,201504,2
2230,茄快,201506,4
2231,茄快,201507,2
2232,茄快,201508,1
2233,茄快,201509,1
2234,茄快,201510,1
2235,茄快,201512,1
2236,茄快,201501,2
2237,茄快,201503,4
2238,茄快,201504,3
2239,茄快,201505,3
2240,茄快,201507,4
2241,茄快,201508,2
2242,茄快,201509,2
2243,茄快,201512,2
2280,茄快,201501,165
2281,茄快,201502,188
2282,茄快,201503,381
2283,茄快,201504,479
2284,茄快,201505,480
2285,茄快,201506,387
2286,茄快,201507,313
2287,茄快,201508,237
2288,茄快,201509,194
2289,茄快,201510,169
2290,茄快,201511,144
2291,茄快,201512,117
2292,茄快,201501,118
2293,茄快,201502,187
2294,茄快,201503,418
2295,茄快,201504,439
2296,茄快,201505,426
2297,茄快,201506,362
2298,茄快,201507,273
2299,茄快,201508,230
2300,茄快,201509,153
2301,茄快,201510,138
2302,茄快,201511,132
2303,茄快,201512,115
2304,茄快,201501,39
2305,茄快,201502,47
2306,茄快,201503,38
2307,茄快,201504,62
2308,茄快,201505,50
2309,茄快,201506,53
2310,茄快,201507,39
2311,茄快,201508,36
2312,茄快,201509,26
2313,茄快,201510,35
2314,茄快,201511,13
2315,茄快,201512,19
2316,茄快,201501,41
2317,茄快,201502,51
2318,茄快,201503,51
2319,茄快,201504,69
2320,茄快,201505,61
2321,茄快,201506,58
2322,茄快,201507,54
2323,茄快,201508,26
2324,茄快,201509,31
2325,茄快,201510,19
2326,茄快,201511,12
2327,茄快,201512,20
2360,茄快,201501,347
2361,茄快,201502,381
2362,茄快,201503,565
2363,茄快,201504,727
2364,茄快,201505,639
2365,茄快,201506,526
2366,茄快,201507,434
2367,茄快,201508,410
2368,茄快,201509,308
2369,茄快,201510,308
2370,茄快,201511,296
2371,茄快,201512,305
2372,茄快,201501,348
2373,茄快,201502,370
2374,茄快,201503,573
2375,茄快,201504,671
2376,茄快,201505,600
2377,茄快,201506,466
2378,茄快,201507,406
2379,茄快,201508,371
2380,茄快,201509,297
2381,茄快,201510,288
2382,茄快,201511,272
2383,茄快,201512,274
2420,茄快,201501,254
2421,茄快,201502,241
2422,茄快,201503,335
2423,茄快,201504,386
2424,茄快,201505,467
